  No;Problem;                                                                            ;;
   1;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c135s0;          TIMEOUT;      ;
   2;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c135s1;          TIMEOUT;      ;
   3;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c135s2;          TIMEOUT;      ;
   4;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c135s3;          TIMEOUT;      ;
   5;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c135s4;          TIMEOUT;      ;
   6;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c135s5;          TIMEOUT;      ;
   7;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c135s6;          TIMEOUT;      ;
   8;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c135s7;          TIMEOUT;      ;
   9;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c135s8;          TIMEOUT;      ;
  10;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c135s9;          TIMEOUT;      ;
  11;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c150s0;          TIMEOUT;      ;
  12;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c150s1;          TIMEOUT;      ;
  13;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c150s2;          TIMEOUT;      ;
  14;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c150s3;          TIMEOUT;      ;
  15;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c150s4;          TIMEOUT;      ;
  16;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c150s5;          TIMEOUT;      ;
  17;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c150s6;          TIMEOUT;      ;
  18;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c150s7;          TIMEOUT;      ;
  19;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c150s8;          TIMEOUT;      ;
  20;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c150s9;          TIMEOUT;      ;
  21;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c165s0;          TIMEOUT;      ;
  22;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c165s1;          TIMEOUT;      ;
  23;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c165s2;          TIMEOUT;      ;
  24;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c165s3;          TIMEOUT;      ;
  25;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c165s4;          TIMEOUT;      ;
  26;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c165s5;          TIMEOUT;      ;
  27;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c165s6;          TIMEOUT;      ;
  28;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c165s7;          TIMEOUT;      ;
  29;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c165s8;          TIMEOUT;      ;
  30;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c165s9;          TIMEOUT;      ;
  31;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c180s0;          TIMEOUT;      ;
  32;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c180s1;          TIMEOUT;      ;
  33;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c180s2;          TIMEOUT;      ;
  34;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c180s3;          TIMEOUT;      ;
