PC1,PC2,Problem,Prover,System
-8610004.82250004,-0.0019341536967292386,"v10m1d2C[[0,0,1]]p[[[],[],[8,36,54,27]]]nm0.5np0.5c200s6",3CNF2,bbtab
-8610004.812500041,-0.0019341532515934567,"v10m1d2C[[0,0,1]]p[[[],[],[8,36,54,27]]]nm0.5np0.5c200s7",3CNF2,bbtab
-8610004.812500041,-0.0019341532515934567,"v10m1d2C[[0,0,1]]p[[[],[],[8,36,54,27]]]nm0.5np0.5c180s8",3CNF2,bbtab
-8610004.802500041,-0.001934152806457675,"v10m1d2C[[0,0,1]]p[[[],[],[8,36,54,27]]]nm0.5np0.5c200s9",3CNF2,bbtab
-8610004.802500041,-0.001934152806457675,"v10m1d2C[[0,0,1]]p[[[],[],[8,36,54,27]]]nm0.5np0.5c200s4",3CNF2,bbtab
-8610004.792500041,-0.001934152361321893,"v10m1d1C[[0,0,1]]p[[[],[],[1,3,3,1]]]nm0.5np0.5c260s9",3CNF2,bbtab
-8610004.782500042,-0.0019341519161861112,"v06m1d2C[[0,0,1]]p[[[],[],[1,3,3,1]]]nm0.5np0.5c216s5",3CNF2,bbtab
-8610004.772500042,-0.0019341514710503292,"v06m1d2C[[0,0,1]]p[[[],[],[1,3,3,1]]]nm0.5np0.5c216s8",3CNF2,bbtab
-8610004.772500042,-0.0019341514710503292,"v10m1d2C[[0,0,1]]p[[[],[],[8,36,54,27]]]nm0.5np0.5c260s7",3CNF2,bbtab
-8610004.772500042,-0.0019341514710503292,"v10m1d2C[[0,0,1]]p[[[],[],[8,36,54,27]]]nm0.5np0.5c220s5",3CNF2,bbtab
-8610004.772500042,-0.0019341514710503292,"v10m1d2C[[0,0,1]]p[[[],[],[8,36,54,27]]]nm0.5np0.5c240s0",3CNF2,bbtab
-8610004.772500042,-0.0019341514710503292,"v06m1d2C[[0,0,1]]p[[[],[],[1,3,3,1]]]nm0.5np0.5c240s3",3CNF2,bbtab
-8610004.762500042,-0.0019341510259145475,"v10m1d2C[[0,0,1]]p[[[],[],[8,36,54,27]]]nm0.5np0.5c220s8",3CNF2,bbtab
-8610004.762500042,-0.0019341510259145475,"v10m1d2C[[0,0,1]]p[[[],[],[8,36,54,27]]]nm0.5np0.5c200s5",3CNF2,bbtab
-8610004.75250004,-0.0019341505807787655,"v10m1d2C[[0,0,1]]p[[[],[],[8,36,54,27]]]nm0.5np0.5c260s8",3CNF2,bbtab
-8610004.75250004,-0.0019341505807787655,"v06m1d2C[[0,0,1]]p[[[],[],[1,3,3,1]]]nm0.5np0.5c264s4",3CNF2,bbtab
-8610004.75250004,-0.0019341505807787655,"v10m1d2C[[0,0,1]]p[[[],[],[8,36,54,27]]]nm0.5np0.5c220s2",3CNF2,bbtab
-8610004.75250004,-0.0019341505807787655,"v10m1d1C[[0,0,1]]p[[[],[],[1,3,3,1]]]nm0.5np0.5c320s1",3CNF2,bbtab
-8610004.75250004,-0.0019341505807787655,"v10m1d1C[[0,0,1]]p[[[],[],[1,3,3,1]]]nm0.5np0.5c260s2",3CNF2,bbtab
-8610004.74250004,-0.0019341501356429838,"v10m1d2C[[0,0,1]]p[[[],[],[8,36,54,27]]]nm0.5np0.5c240s7",3CNF2,bbtab
-8610004.74250004,-0.0019341501356429838,"v10m1d2C[[0,0,1]]p[[[],[],[8,36,54,27]]]nm0.5np0.5c240s9",3CNF2,bbtab
-8610004.74250004,-0.0019341501356429838,"v06m1d2C[[0,0,1]]p[[[],[],[1,3,3,1]]]nm0.5np0.5c264s6",3CNF2,bbtab
-8610004.74250004,-0.0019341501356429838,"v10m1d2C[[0,0,1]]p[[[],[],[8,36,54,27]]]nm0.5np0.5c240s5",3CNF2,bbtab
-8610004.74250004,-0.0019341501356429838,"v10m1d2C[[0,0,1]]p[[[],[],[8,36,54,27]]]nm0.5np0.5c260s1",3CNF2,bbtab
-8610004.74250004,-0.0019341501356429838,"v06m1d2C[[0,0,1]]p[[[],[],[1,3,3,1]]]nm0.5np0.5c240s0",3CNF2,bbtab
-8610004.74250004,-0.0019341501356429838,"v10m1d2C[[0,0,1]]p[[[],[],[8,36,54,27]]]nm0.5np0.5c240s8",3CNF2,bbtab
-8610004.74250004,-0.0019341501356429838,"v06m1d2C[[0,0,1]]p[[[],[],[1,3,3,1]]]nm0.5np0.5c240s4",3CNF2,bbtab
-8610004.73250004,-0.0019341496905072018,"v10m1d2C[[0,0,1]]p[[[],[],[8,36,54,27]]]nm0.5np0.5c280s0",3CNF2,bbtab
-8610004.73250004,-0.0019341496905072018,"v06m1d2C[[0,0,1]]p[[[],[],[1,3,3,1]]]nm0.5np0.5c288s5",3CNF2,bbtab
-8610004.73250004,-0.0019341496905072018,"v06m1d2C[[0,0,1]]p[[[],[],[1,3,3,1]]]nm0.5np0.5c216s9",3CNF2,bbtab
-8610004.73250004,-0.0019341496905072018,"v06m1d2C[[0,0,1]]p[[[],[],[1,3,3,1]]]nm0.5np0.5c264s5",3CNF2,bbtab
-8610004.722500041,-0.00193414924537142,"v10m1d2C[[0,0,1]]p[[[],[],[8,36,54,27]]]nm0.5np0.5c280s6",3CNF2,bbtab
