  No;Problem;                                                                            ;;
   1;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c135s0.tptp;     TIMEOUT;      ;
   2;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c135s1.tptp;     TIMEOUT;      ;
   3;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c135s2.tptp;     TIMEOUT;      ;
   4;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c135s3.tptp;     TIMEOUT;      ;
   5;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c135s4.tptp;     TIMEOUT;      ;
   6;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c135s5.tptp;     TIMEOUT;      ;
   7;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c135s6.tptp;     TIMEOUT;      ;
   8;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c135s7.tptp;     TIMEOUT;      ;
   9;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c135s8.tptp;     TIMEOUT;      ;
  10;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c135s9.tptp;     TIMEOUT;      ;
  11;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c150s0.tptp;     TIMEOUT;      ;
  12;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c150s1.tptp;     TIMEOUT;      ;
  13;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c150s2.tptp;     TIMEOUT;      ;
  14;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c150s3.tptp;     TIMEOUT;      ;
  15;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c150s4.tptp;     TIMEOUT;      ;
  16;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c150s5.tptp;     TIMEOUT;      ;
  17;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c150s6.tptp;     TIMEOUT;      ;
  18;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c150s7.tptp;     TIMEOUT;      ;
  19;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c150s8.tptp;     TIMEOUT;      ;
  20;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c150s9.tptp;     TIMEOUT;      ;
  21;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c165s0.tptp;     TIMEOUT;      ;
  22;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c165s1.tptp;     TIMEOUT;      ;
  23;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c165s2.tptp;     TIMEOUT;      ;
  24;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c165s3.tptp;     TIMEOUT;      ;
  25;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c165s4.tptp;     TIMEOUT;      ;
  26;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c165s5.tptp;     TIMEOUT;      ;
  27;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c165s6.tptp;     TIMEOUT;      ;
  28;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c165s7.tptp;     TIMEOUT;      ;
  29;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c165s8.tptp;     TIMEOUT;      ;
  30;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c165s9.tptp;     TIMEOUT;      ;
  31;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c180s0.tptp;     TIMEOUT;      ;
  32;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c180s1.tptp;     TIMEOUT;      ;
  33;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c180s2.tptp;     TIMEOUT;      ;
  34;3CNF2/v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c180s3.tptp;     TIMEOUT;      ;
