Prover,System,Problem,Execution Time,Result
3CNF2,vampire,"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c135s0.",9999999.0,NULL
3CNF2,vampire,"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c135s1.",9999999.0,NULL
3CNF2,vampire,"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c135s2.",9999999.0,NULL
3CNF2,vampire,"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c135s3.",9999999.0,NULL
3CNF2,vampire,"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c135s4.",9999999.0,NULL
3CNF2,vampire,"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c135s5.",9999999.0,NULL
3CNF2,vampire,"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c135s6.",9999999.0,NULL
3CNF2,vampire,"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c135s7.",9999999.0,NULL
3CNF2,vampire,"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c135s8.",9999999.0,NULL
3CNF2,vampire,"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c135s9.",9999999.0,NULL
3CNF2,vampire,"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c150s0.",9999999.0,NULL
3CNF2,vampire,"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c150s1.",9999999.0,NULL
3CNF2,vampire,"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c150s2.",9999999.0,NULL
3CNF2,vampire,"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c150s3.",9999999.0,NULL
3CNF2,vampire,"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c150s4.",9999999.0,NULL
3CNF2,vampire,"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c150s5.",9999999.0,NULL
3CNF2,vampire,"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c150s6.",9999999.0,NULL
3CNF2,vampire,"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c150s7.",9999999.0,NULL
3CNF2,vampire,"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c150s8.",9999999.0,NULL
3CNF2,vampire,"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c150s9.",9999999.0,NULL
3CNF2,vampire,"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c165s0.",9999999.0,NULL
3CNF2,vampire,"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c165s1.",9999999.0,NULL
3CNF2,vampire,"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c165s2.",9999999.0,NULL
3CNF2,vampire,"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c165s3.",9999999.0,NULL
3CNF2,vampire,"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c165s4.",9999999.0,NULL
