Prover,System,Problem,Execution Time,Result
lwb,bbtab,k_branch_n.0001.,0.0, Sat  
lwb,bbtab,k_branch_n.0002.,0.0, Sat  
lwb,bbtab,k_branch_n.0003.,0.0, Sat  
lwb,bbtab,k_branch_n.0004.,0.0, Sat  
lwb,bbtab,k_branch_n.0005.,0.0, Sat  
lwb,bbtab,k_branch_n.0006.,0.0, Sat  
lwb,bbtab,k_branch_n.0007.,0.01, Sat  
lwb,bbtab,k_branch_n.0008.,0.01, Sat  
lwb,bbtab,k_branch_n.0009.,0.02, Sat  
lwb,bbtab,k_branch_n.0010.,0.03, Sat  
lwb,bbtab,k_branch_n.0011.,0.06, Sat  
lwb,bbtab,k_branch_n.0012.,0.12, Sat  
lwb,bbtab,k_branch_n.0013.,0.28, Sat  
lwb,bbtab,k_branch_n.0014.,0.68, Sat  
lwb,bbtab,k_branch_n.0015.,1.66, Sat  
lwb,bbtab,k_branch_n.0016.,3.7, Sat  
lwb,bbtab,k_branch_n.0017.,7.98, Sat  
lwb,bbtab,k_branch_n.0018.,17.37, Sat  
lwb,bbtab,k_branch_n.0019.,38.25, Sat  
lwb,bbtab,k_branch_n.0020.,87.51, Sat  
lwb,bbtab,k_branch_n.0021.,199.34, Sat  
lwb,bbtab,k_branch_n.0022.,547.83, Sat  
lwb,bbtab,k_branch_n.0023.,9999999.0,NULL
lwb,bbtab,k_branch_n.0024.,9999999.0,NULL
lwb,bbtab,k_branch_n.0025.,9999999.0,NULL
lwb,bbtab,k_branch_n.0026.,9999999.0,NULL
lwb,bbtab,k_branch_n.0027.,9999999.0,NULL
lwb,bbtab,k_branch_n.0028.,9999999.0,NULL
lwb,bbtab,k_branch_n.0029.,9999999.0,NULL
lwb,bbtab,k_branch_n.0030.,9999999.0,NULL
lwb,bbtab,k_branch_n.0032.,9999999.0,NULL
lwb,bbtab,k_branch_n.0034.,9999999.0,NULL
lwb,bbtab,k_branch_n.0036.,9999999.0,NULL
lwb,bbtab,k_branch_n.0038.,9999999.0,NULL
lwb,bbtab,k_branch_n.0040.,9999999.0,NULL
lwb,bbtab,k_branch_n.0042.,9999999.0,NULL
lwb,bbtab,k_branch_n.0044.,9999999.0,NULL
lwb,bbtab,k_branch_n.0046.,9999999.0,NULL
lwb,bbtab,k_branch_n.0048.,9999999.0,NULL
lwb,bbtab,k_branch_n.0050.,9999999.0,NULL
lwb,bbtab,k_branch_n.0052.,9999999.0,NULL
lwb,bbtab,k_branch_n.0054.,9999999.0,NULL
lwb,bbtab,k_branch_n.0056.,9999999.0,NULL
lwb,bbtab,k_branch_n.0058.,9999999.0,NULL
lwb,bbtab,k_branch_n.0060.,9999999.0,NULL
lwb,bbtab,k_branch_n.0062.,9999999.0,NULL
lwb,bbtab,k_branch_n.0064.,9999999.0,NULL
lwb,bbtab,k_branch_n.0066.,9999999.0,NULL
lwb,bbtab,k_branch_n.0068.,9999999.0,NULL
lwb,bbtab,k_branch_n.0070.,9999999.0,NULL
lwb,bbtab,k_branch_n.0072.,9999999.0,NULL
lwb,bbtab,k_branch_n.0074.,9999999.0,NULL
lwb,bbtab,k_branch_n.0076.,9999999.0,NULL
lwb,bbtab,k_branch_n.0078.,9999999.0,NULL
lwb,bbtab,k_branch_n.0080.,9999999.0,NULL
lwb,bbtab,k_branch_p.0001.,0.0, Unsat
lwb,bbtab,k_branch_p.0002.,0.0, Unsat
lwb,bbtab,k_branch_p.0003.,0.0, Unsat
lwb,bbtab,k_branch_p.0004.,0.0, Unsat
lwb,bbtab,k_branch_p.0005.,0.0, Unsat
lwb,bbtab,k_branch_p.0006.,0.0, Unsat
lwb,bbtab,k_branch_p.0007.,0.01, Unsat
lwb,bbtab,k_branch_p.0008.,0.01, Unsat
