  No;Problem;                                                                            ;;
   1;lwb/k_branch_n.0001.tptp;                                                0.01; Sat  ;
   2;lwb/k_branch_n.0002.tptp;                                                0.02; Sat  ;
   3;lwb/k_branch_n.0003.tptp;                                                0.02; Sat  ;
   4;lwb/k_branch_n.0004.tptp;                                                0.03; Sat  ;
   5;lwb/k_branch_n.0005.tptp;                                                0.04; Sat  ;
   6;lwb/k_branch_n.0006.tptp;                                                0.06; Sat  ;
   7;lwb/k_branch_n.0007.tptp;                                                0.09; Sat  ;
   8;lwb/k_branch_n.0008.tptp;                                                0.16; Sat  ;
   9;lwb/k_branch_n.0009.tptp;                                                0.29; Sat  ;
  10;lwb/k_branch_n.0010.tptp;                                                0.40; Sat  ;
  11;lwb/k_branch_n.0011.tptp;                                                0.60; Sat  ;
  12;lwb/k_branch_n.0012.tptp;                                                0.91; Sat  ;
  13;lwb/k_branch_n.0013.tptp;                                                1.37; Sat  ;
  14;lwb/k_branch_n.0014.tptp;                                                1.96; Sat  ;
  15;lwb/k_branch_n.0015.tptp;                                                2.58; Sat  ;
  16;lwb/k_branch_n.0016.tptp;                                                3.67; Sat  ;
  17;lwb/k_branch_n.0017.tptp;                                                5.26; Sat  ;
  18;lwb/k_branch_n.0018.tptp;                                                7.41; Sat  ;
  19;lwb/k_branch_n.0019.tptp;                                                9.37; Sat  ;
  20;lwb/k_branch_n.0020.tptp;                                               12.82; Sat  ;
  21;lwb/k_branch_n.0021.tptp;                                               16.72; Sat  ;
  22;lwb/k_branch_n.0022.tptp;                                               21.63; Sat  ;
  23;lwb/k_branch_n.0023.tptp;                                               27.70; Sat  ;
  24;lwb/k_branch_n.0024.tptp;                                               35.86; Sat  ;
  25;lwb/k_branch_n.0025.tptp;                                               43.77; Sat  ;
  26;lwb/k_branch_n.0026.tptp;                                               54.79; Sat  ;
  27;lwb/k_branch_n.0027.tptp;                                               64.51; Sat  ;
  28;lwb/k_branch_n.0028.tptp;                                               80.21; Sat  ;
  29;lwb/k_branch_n.0029.tptp;                                               98.89; Sat  ;
  30;lwb/k_branch_n.0030.tptp;                                              116.98; Sat  ;
  31;lwb/k_branch_n.0032.tptp;                                              172.20; Sat  ;
  32;lwb/k_branch_n.0034.tptp;                                              233.39; Sat  ;
  33;lwb/k_branch_n.0036.tptp;                                              340.13; Sat  ;
  34;lwb/k_branch_n.0038.tptp;                                              461.53; Sat  ;
  35;lwb/k_branch_n.0040.tptp;                                              646.91; Sat  ;
  36;lwb/k_branch_n.0042.tptp;                                              944.29; Sat  ;
  37;lwb/k_branch_n.0044.tptp;                                             TIMEOUT;      ;
  38;lwb/k_branch_n.0046.tptp;                                             TIMEOUT;      ;
  39;lwb/k_branch_n.0048.tptp;                                             TIMEOUT;      ;
  40;lwb/k_branch_n.0050.tptp;                                             TIMEOUT;      ;
  41;lwb/k_branch_n.0052.tptp;                                             TIMEOUT;      ;
  42;lwb/k_branch_n.0054.tptp;                                             TIMEOUT;      ;
  43;lwb/k_branch_n.0056.tptp;                                             TIMEOUT;      ;
  44;lwb/k_branch_n.0058.tptp;                                             TIMEOUT;      ;
  45;lwb/k_branch_n.0060.tptp;                                             TIMEOUT;      ;
  46;lwb/k_branch_n.0062.tptp;                                             TIMEOUT;      ;
  47;lwb/k_branch_n.0064.tptp;                                             TIMEOUT;      ;
  48;lwb/k_branch_n.0066.tptp;                                             TIMEOUT;      ;
  49;lwb/k_branch_n.0068.tptp;                                             TIMEOUT;      ;
  50;lwb/k_branch_n.0070.tptp;                                             TIMEOUT;      ;
  51;lwb/k_branch_n.0072.tptp;                                             TIMEOUT;      ;
  52;lwb/k_branch_n.0074.tptp;                                             TIMEOUT;      ;
  53;lwb/k_branch_n.0076.tptp;                                             TIMEOUT;      ;
  54;lwb/k_branch_n.0078.tptp;                                             TIMEOUT;      ;
  55;lwb/k_branch_n.0080.tptp;                                             TIMEOUT;      ;
  56;lwb/k_branch_n.0088.tptp;                                             TIMEOUT;      ;
  57;lwb/k_branch_p.0001.tptp;                                                0.01; Unsat;
  58;lwb/k_branch_p.0002.tptp;                                                0.01; Unsat;
  59;lwb/k_branch_p.0003.tptp;                                                0.02; Unsat;
  60;lwb/k_branch_p.0004.tptp;                                                0.02; Unsat;
  61;lwb/k_branch_p.0005.tptp;                                                0.04; Unsat;
  62;lwb/k_branch_p.0006.tptp;                                                0.07; Unsat;
  63;lwb/k_branch_p.0007.tptp;                                                0.10; Unsat;
  64;lwb/k_branch_p.0008.tptp;                                                0.19; Unsat;
  65;lwb/k_branch_p.0009.tptp;                                                0.32; Unsat;
  66;lwb/k_branch_p.0010.tptp;                                                0.50; Unsat;
  67;lwb/k_branch_p.0011.tptp;                                                0.77; Unsat;
  68;lwb/k_branch_p.0012.tptp;                                                1.12; Unsat;
  69;lwb/k_branch_p.0013.tptp;                                                1.72; Unsat;
  70;lwb/k_branch_p.0014.tptp;                                                2.43; Unsat;
  71;lwb/k_branch_p.0015.tptp;                                                3.21; Unsat;
  72;lwb/k_branch_p.0016.tptp;                                                4.68; Unsat;
  73;lwb/k_branch_p.0017.tptp;                                                6.73; Unsat;
  74;lwb/k_branch_p.0018.tptp;                                                9.15; Unsat;
  75;lwb/k_branch_p.0019.tptp;                                               11.66; Unsat;
  76;lwb/k_branch_p.0020.tptp;                                               16.02; Unsat;
  77;lwb/k_branch_p.0021.tptp;                                               19.98; Unsat;
  78;lwb/k_branch_p.0022.tptp;                                               27.38; Unsat;
  79;lwb/k_branch_p.0023.tptp;                                               33.20; Unsat;
  80;lwb/k_branch_p.0024.tptp;                                               42.96; Unsat;
  81;lwb/k_branch_p.0025.tptp;                                               55.15; Unsat;
  82;lwb/k_branch_p.0026.tptp;                                               64.38; Unsat;
  83;lwb/k_branch_p.0027.tptp;                                               76.97; Unsat;
  84;lwb/k_branch_p.0028.tptp;                                              100.70; Unsat;
  85;lwb/k_branch_p.0029.tptp;                                              128.37; Unsat;
  86;lwb/k_branch_p.0030.tptp;                                              139.63; Unsat;
  87;lwb/k_branch_p.0032.tptp;                                              208.29; Unsat;
  88;lwb/k_branch_p.0034.tptp;                                              285.18; Unsat;
  89;lwb/k_branch_p.0036.tptp;                                              426.24; Unsat;
  90;lwb/k_branch_p.0038.tptp;                                              561.95; Unsat;
  91;lwb/k_branch_p.0040.tptp;                                              777.95; Unsat;
