Prover,System,Problem,Execution Time,Result
lwb,vampire,k_branch_n.0001.,0.01, Sat  
lwb,vampire,k_branch_n.0002.,0.02, Sat  
lwb,vampire,k_branch_n.0003.,0.02, Sat  
lwb,vampire,k_branch_n.0004.,0.03, Sat  
lwb,vampire,k_branch_n.0005.,0.04, Sat  
lwb,vampire,k_branch_n.0006.,0.06, Sat  
lwb,vampire,k_branch_n.0007.,0.09, Sat  
lwb,vampire,k_branch_n.0008.,0.16, Sat  
lwb,vampire,k_branch_n.0009.,0.29, Sat  
lwb,vampire,k_branch_n.0010.,0.4, Sat  
lwb,vampire,k_branch_n.0011.,0.6, Sat  
lwb,vampire,k_branch_n.0012.,0.91, Sat  
lwb,vampire,k_branch_n.0013.,1.37, Sat  
lwb,vampire,k_branch_n.0014.,1.96, Sat  
lwb,vampire,k_branch_n.0015.,2.58, Sat  
lwb,vampire,k_branch_n.0016.,3.67, Sat  
lwb,vampire,k_branch_n.0017.,5.26, Sat  
lwb,vampire,k_branch_n.0018.,7.41, Sat  
lwb,vampire,k_branch_n.0019.,9.37, Sat  
lwb,vampire,k_branch_n.0020.,12.82, Sat  
lwb,vampire,k_branch_n.0021.,16.72, Sat  
lwb,vampire,k_branch_n.0022.,21.63, Sat  
lwb,vampire,k_branch_n.0023.,27.7, Sat  
lwb,vampire,k_branch_n.0024.,35.86, Sat  
lwb,vampire,k_branch_n.0025.,43.77, Sat  
lwb,vampire,k_branch_n.0026.,54.79, Sat  
lwb,vampire,k_branch_n.0027.,64.51, Sat  
lwb,vampire,k_branch_n.0028.,80.21, Sat  
lwb,vampire,k_branch_n.0029.,98.89, Sat  
lwb,vampire,k_branch_n.0030.,116.98, Sat  
lwb,vampire,k_branch_n.0032.,172.2, Sat  
lwb,vampire,k_branch_n.0034.,233.39, Sat  
lwb,vampire,k_branch_n.0036.,340.13, Sat  
lwb,vampire,k_branch_n.0038.,461.53, Sat  
lwb,vampire,k_branch_n.0040.,646.91, Sat  
lwb,vampire,k_branch_n.0042.,944.29, Sat  
lwb,vampire,k_branch_n.0044.,9999999.0,NULL
lwb,vampire,k_branch_n.0046.,9999999.0,NULL
lwb,vampire,k_branch_n.0048.,9999999.0,NULL
lwb,vampire,k_branch_n.0050.,9999999.0,NULL
lwb,vampire,k_branch_n.0052.,9999999.0,NULL
lwb,vampire,k_branch_n.0054.,9999999.0,NULL
lwb,vampire,k_branch_n.0056.,9999999.0,NULL
lwb,vampire,k_branch_n.0058.,9999999.0,NULL
lwb,vampire,k_branch_n.0060.,9999999.0,NULL
lwb,vampire,k_branch_n.0062.,9999999.0,NULL
lwb,vampire,k_branch_n.0064.,9999999.0,NULL
lwb,vampire,k_branch_n.0066.,9999999.0,NULL
lwb,vampire,k_branch_n.0068.,9999999.0,NULL
lwb,vampire,k_branch_n.0070.,9999999.0,NULL
lwb,vampire,k_branch_n.0072.,9999999.0,NULL
lwb,vampire,k_branch_n.0074.,9999999.0,NULL
lwb,vampire,k_branch_n.0076.,9999999.0,NULL
lwb,vampire,k_branch_n.0078.,9999999.0,NULL
lwb,vampire,k_branch_n.0080.,9999999.0,NULL
lwb,vampire,k_branch_n.0088.,9999999.0,NULL
lwb,vampire,k_branch_p.0001.,0.01, Unsat
lwb,vampire,k_branch_p.0002.,0.01, Unsat
lwb,vampire,k_branch_p.0003.,0.02, Unsat
lwb,vampire,k_branch_p.0004.,0.02, Unsat
lwb,vampire,k_branch_p.0005.,0.04, Unsat
lwb,vampire,k_branch_p.0006.,0.07, Unsat
lwb,vampire,k_branch_p.0007.,0.1, Unsat
lwb,vampire,k_branch_p.0008.,0.19, Unsat
lwb,vampire,k_branch_p.0009.,0.32, Unsat
lwb,vampire,k_branch_p.0010.,0.5, Unsat
lwb,vampire,k_branch_p.0011.,0.77, Unsat
lwb,vampire,k_branch_p.0012.,1.12, Unsat
lwb,vampire,k_branch_p.0013.,1.72, Unsat
lwb,vampire,k_branch_p.0014.,2.43, Unsat
lwb,vampire,k_branch_p.0015.,3.21, Unsat
lwb,vampire,k_branch_p.0016.,4.68, Unsat
lwb,vampire,k_branch_p.0017.,6.73, Unsat
lwb,vampire,k_branch_p.0018.,9.15, Unsat
lwb,vampire,k_branch_p.0019.,11.66, Unsat
lwb,vampire,k_branch_p.0020.,16.02, Unsat
lwb,vampire,k_branch_p.0021.,19.98, Unsat
lwb,vampire,k_branch_p.0022.,27.38, Unsat
lwb,vampire,k_branch_p.0023.,33.2, Unsat
lwb,vampire,k_branch_p.0024.,42.96, Unsat
lwb,vampire,k_branch_p.0025.,55.15, Unsat
lwb,vampire,k_branch_p.0026.,64.38, Unsat
lwb,vampire,k_branch_p.0027.,76.97, Unsat
lwb,vampire,k_branch_p.0028.,100.7, Unsat
lwb,vampire,k_branch_p.0029.,128.37, Unsat
lwb,vampire,k_branch_p.0030.,139.63, Unsat
lwb,vampire,k_branch_p.0032.,208.29, Unsat
lwb,vampire,k_branch_p.0034.,285.18, Unsat
