PC1,PC2,Problem,Prover,System
-5863141.341269903,0.5037982113380238,k_path_p.0002.,lwb,vampire
-5863141.341269903,0.5037982113380238,k_ph_p.0002.,lwb,vampire
-5863141.341269903,0.5037982113380238,k_branch_p.0001.,lwb,vampire
-5863141.341269903,0.5037982113380238,k_branch_p.0002.,lwb,vampire
-5863141.341269903,0.5037982113380238,k_ph_p.0001.,lwb,vampire
-5863141.341269903,0.5037982113380238,k_ph_p.0003.,lwb,vampire
-5863141.3412698535,-0.49619488311230553,k_path_n.0004.,lwb,vampire
-5863141.3412698535,-0.49619488311230553,k_ph_n.0002.,lwb,vampire
-5863141.3412698535,-0.49619488311230553,k_ph_n.0004.,lwb,vampire
-5863141.3412698535,-0.49619488311230553,k_path_n.0002.,lwb,vampire
-5863141.3412698535,-0.49619488311230553,k_branch_n.0001.,lwb,vampire
-5863141.331269903,0.503798211833237,k_branch_p.0003.,lwb,vampire
-5863141.331269903,0.503798211833237,k_d4_p.0004.,lwb,vampire
-5863141.331269903,0.503798211833237,k_path_p.0010.,lwb,vampire
-5863141.331269903,0.503798211833237,k_path_p.0008.,lwb,vampire
-5863141.331269903,0.503798211833237,k_path_p.0006.,lwb,vampire
-5863141.331269903,0.503798211833237,k_lin_p.000010.,lwb,vampire
-5863141.331269903,0.503798211833237,k_d4_p.0008.,lwb,vampire
-5863141.331269903,0.503798211833237,k_path_p.0004.,lwb,vampire
-5863141.331269903,0.503798211833237,k_grz_p.0020.,lwb,vampire
-5863141.331269903,0.503798211833237,k_ph_p.0004.,lwb,vampire
-5863141.331269903,0.503798211833237,k_grz_p.0010.,lwb,vampire
-5863141.331269903,0.503798211833237,k_poly_p.0002.,lwb,vampire
-5863141.331269903,0.503798211833237,k_poly_p.0004.,lwb,vampire
-5863141.331269903,0.503798211833237,k_lin_p.000020.,lwb,vampire
-5863141.331269903,0.503798211833237,k_lin_p.000030.,lwb,vampire
-5863141.331269903,0.503798211833237,k_ph_p.0005.,lwb,vampire
-5863141.331269903,0.503798211833237,k_branch_p.0004.,lwb,vampire
-5863141.331269854,-0.4961948826170922,k_branch_n.0002.,lwb,vampire
-5863141.331269854,-0.4961948826170922,k_grz_n.0010.,lwb,vampire
-5863141.331269854,-0.4961948826170922,k_path_n.0006.,lwb,vampire
-5863141.331269854,-0.4961948826170922,k_grz_n.0020.,lwb,vampire
-5863141.331269854,-0.4961948826170922,k_branch_n.0003.,lwb,vampire
-5863141.331269854,-0.4961948826170922,k_path_n.0010.,lwb,vampire
-5863141.331269854,-0.4961948826170922,k_ph_n.0008.,lwb,vampire
-5863141.331269854,-0.4961948826170922,k_ph_n.0006.,lwb,vampire
-5863141.331269854,-0.4961948826170922,k_lin_n.0010.,lwb,vampire
-5863141.331269854,-0.4961948826170922,k_poly_n.0004.,lwb,vampire
-5863141.331269854,-0.4961948826170922,k_path_n.0008.,lwb,vampire
-5863141.331269854,-0.4961948826170922,k_poly_n.0002.,lwb,vampire
-5863141.321269903,0.5037982123284505,k_ph_p.0006.,lwb,vampire
-5863141.321269903,0.5037982123284505,k_lin_p.000040.,lwb,vampire
-5863141.321269903,0.5037982123284505,k_t4p_p.00010.,lwb,vampire
-5863141.321269903,0.5037982123284505,k_path_p.0012.,lwb,vampire
-5863141.321269903,0.5037982123284505,k_d4_p.0012.,lwb,vampire
-5863141.321269903,0.5037982123284505,k_path_p.0014.,lwb,vampire
-5863141.321269903,0.5037982123284505,k_poly_p.0006.,lwb,vampire
