PC1,PC2,Problem
-5208795.746033855,0.48571968144424715,k_grz_p.0020.
-5208795.746033855,0.48571968144424715,k_grz_p.0030.
-5208795.746033855,0.48571968144424715,k_poly_p.0004.
-5208795.746033855,0.48571968144424715,k_poly_p.0006.
-5208795.746033855,0.48571968144424715,k_poly_p.0008.
-5208795.746033855,0.48571968144424715,k_poly_p.0002.
-5208795.746033855,0.48571968144424715,k_d4_p.0016.
-5208795.746033855,0.48571968144424715,k_dum_p.0016.
-5208795.746033855,0.48571968144424715,k_d4_p.0004.
-5208795.746033855,0.48571968144424715,k_dum_p.0008.
-5208795.746033855,0.48571968144424715,k_d4_p.0012.
-5208795.746033855,0.48571968144424715,k_d4_p.0008.
-5208795.746033855,0.48571968144424715,k_path_p.0004.
-5208795.746033855,0.48571968144424715,k_lin_p.000020.
-5208795.746033855,0.48571968144424715,k_lin_p.000030.
-5208795.746033855,0.48571968144424715,k_lin_p.000040.
-5208795.746033855,0.48571968144424715,k_lin_p.000050.
-5208795.746033855,0.48571968144424715,k_lin_p.000060.
-5208795.746033855,0.48571968144424715,k_lin_p.000070.
-5208795.746033855,0.48571968144424715,k_lin_p.000080.
-5208795.746033855,0.48571968144424715,k_lin_p.000090.
-5208795.746033855,0.48571968144424715,k_path_p.0002.
-5208795.746033855,0.48571968144424715,k_ph_p.0005.
-5208795.746033855,0.48571968144424715,k_ph_p.0006.
-5208795.746033855,0.48571968144424715,k_ph_p.0003.
-5208795.746033855,0.48571968144424715,k_ph_p.0004.
-5208795.746033855,0.48571968144424715,k_lin_p.000100.
-5208795.746033855,0.48571968144424715,k_lin_p.000200.
-5208795.746033855,0.48571968144424715,k_grz_p.0010.
-5208795.746033855,0.48571968144424715,k_branch_p.0006.
-5208795.746033855,0.48571968144424715,k_branch_p.0005.
-5208795.746033855,0.48571968144424715,k_branch_p.0002.
-5208795.746033855,0.48571968144424715,k_branch_p.0003.
-5208795.746033855,0.48571968144424715,k_branch_p.0001.
-5208795.746033855,0.48571968144424715,k_branch_p.0004.
-5208795.746033855,0.48571968144424715,k_ph_p.0001.
-5208795.746033855,0.48571968144424715,k_lin_p.000010.
-5208795.746033855,0.48571968144424715,k_ph_p.0002.
-5208795.746033804,-0.5142730935235721,k_d4_n.0008.
-5208795.746033804,-0.5142730935235721,k_grz_n.0020.
-5208795.746033804,-0.5142730935235721,k_lin_n.0010.
-5208795.746033804,-0.5142730935235721,k_grz_n.0030.
-5208795.746033804,-0.5142730935235721,k_grz_n.0010.
-5208795.746033804,-0.5142730935235721,k_branch_n.0004.
-5208795.746033804,-0.5142730935235721,k_branch_n.0003.
-5208795.746033804,-0.5142730935235721,k_ph_n.0002.
-5208795.746033804,-0.5142730935235721,k_dum_n.0008.
