  No;Problem;                                                                            ;;
   1;lwb/k_branch_n.0001.spartacus;                                           0.00; Sat  ;
   2;lwb/k_branch_n.0002.spartacus;                                           0.00; Sat  ;
   3;lwb/k_branch_n.0003.spartacus;                                           0.00; Sat  ;
   4;lwb/k_branch_n.0004.spartacus;                                           0.00; Sat  ;
   5;lwb/k_branch_n.0005.spartacus;                                           0.01; Sat  ;
   6;lwb/k_branch_n.0006.spartacus;                                           0.05; Sat  ;
   7;lwb/k_branch_n.0007.spartacus;                                           0.25; Sat  ;
   8;lwb/k_branch_n.0008.spartacus;                                           1.24; Sat  ;
   9;lwb/k_branch_n.0009.spartacus;                                           6.09; Sat  ;
  10;lwb/k_branch_n.0010.spartacus;                                          29.99; Sat  ;
  11;lwb/k_branch_n.0011.spartacus;                                         148.74; Sat  ;
  12;lwb/k_branch_n.0012.spartacus;                                         746.61; Sat  ;
  13;lwb/k_branch_n.0013.spartacus;                                        TIMEOUT;      ;
  14;lwb/k_branch_n.0014.spartacus;                                        TIMEOUT;      ;
  15;lwb/k_branch_n.0015.spartacus;                                        TIMEOUT;      ;
  16;lwb/k_branch_n.0016.spartacus;                                        TIMEOUT;      ;
  17;lwb/k_branch_n.0017.spartacus;                                        TIMEOUT;      ;
  18;lwb/k_branch_n.0018.spartacus;                                        TIMEOUT;      ;
  19;lwb/k_branch_n.0019.spartacus;                                        TIMEOUT;      ;
  20;lwb/k_branch_n.0020.spartacus;                                        TIMEOUT;      ;
  21;lwb/k_branch_n.0021.spartacus;                                        TIMEOUT;      ;
  22;lwb/k_branch_n.0022.spartacus;                                        TIMEOUT;      ;
  23;lwb/k_branch_n.0023.spartacus;                                        TIMEOUT;      ;
  24;lwb/k_branch_n.0024.spartacus;                                        TIMEOUT;      ;
  25;lwb/k_branch_n.0025.spartacus;                                        TIMEOUT;      ;
  26;lwb/k_branch_n.0026.spartacus;                                        TIMEOUT;      ;
  27;lwb/k_branch_n.0027.spartacus;                                        TIMEOUT;      ;
  28;lwb/k_branch_n.0028.spartacus;                                        TIMEOUT;      ;
  29;lwb/k_branch_n.0029.spartacus;                                        TIMEOUT;      ;
  30;lwb/k_branch_n.0030.spartacus;                                        TIMEOUT;      ;
  31;lwb/k_branch_n.0032.spartacus;                                        TIMEOUT;      ;
  32;lwb/k_branch_n.0034.spartacus;                                        TIMEOUT;      ;
  33;lwb/k_branch_n.0036.spartacus;                                        TIMEOUT;      ;
  34;lwb/k_branch_n.0038.spartacus;                                        TIMEOUT;      ;
  35;lwb/k_branch_n.0040.spartacus;                                        TIMEOUT;      ;
  36;lwb/k_branch_n.0042.spartacus;                                        TIMEOUT;      ;
  37;lwb/k_branch_n.0044.spartacus;                                        TIMEOUT;      ;
  38;lwb/k_branch_n.0046.spartacus;                                        TIMEOUT;      ;
  39;lwb/k_branch_n.0048.spartacus;                                        TIMEOUT;      ;
  40;lwb/k_branch_n.0050.spartacus;                                        TIMEOUT;      ;
  41;lwb/k_branch_n.0052.spartacus;                                        TIMEOUT;      ;
  42;lwb/k_branch_n.0054.spartacus;                                        TIMEOUT;      ;
  43;lwb/k_branch_n.0056.spartacus;                                        TIMEOUT;      ;
  44;lwb/k_branch_n.0058.spartacus;                                        TIMEOUT;      ;
  45;lwb/k_branch_n.0060.spartacus;                                        TIMEOUT;      ;
  46;lwb/k_branch_n.0062.spartacus;                                        TIMEOUT;      ;
  47;lwb/k_branch_n.0064.spartacus;                                        TIMEOUT;      ;
  48;lwb/k_branch_n.0066.spartacus;                                        TIMEOUT;      ;
  49;lwb/k_branch_n.0068.spartacus;                                        TIMEOUT;      ;
  50;lwb/k_branch_n.0070.spartacus;                                        TIMEOUT;      ;
  51;lwb/k_branch_n.0072.spartacus;                                        TIMEOUT;      ;
  52;lwb/k_branch_n.0074.spartacus;                                        TIMEOUT;      ;
  53;lwb/k_branch_n.0076.spartacus;                                        TIMEOUT;      ;
  54;lwb/k_branch_n.0078.spartacus;                                        TIMEOUT;      ;
  55;lwb/k_branch_n.0080.spartacus;                                        TIMEOUT;      ;
  56;lwb/k_branch_n.0088.spartacus;                                        TIMEOUT;      ;
  57;lwb/k_branch_p.0001.spartacus;                                           0.00; Unsat;
  58;lwb/k_branch_p.0002.spartacus;                                           0.00; Unsat;
  59;lwb/k_branch_p.0003.spartacus;                                           0.00; Unsat;
  60;lwb/k_branch_p.0004.spartacus;                                           0.00; Unsat;
  61;lwb/k_branch_p.0005.spartacus;                                           0.00; Unsat;
  62;lwb/k_branch_p.0006.spartacus;                                           0.01; Unsat;
  63;lwb/k_branch_p.0007.spartacus;                                           0.07; Unsat;
  64;lwb/k_branch_p.0008.spartacus;                                           0.35; Unsat;
  65;lwb/k_branch_p.0009.spartacus;                                           0.70; Unsat;
  66;lwb/k_branch_p.0010.spartacus;                                           3.41; Unsat;
  67;lwb/k_branch_p.0011.spartacus;                                          16.64; Unsat;
  68;lwb/k_branch_p.0012.spartacus;                                          29.08; Unsat;
  69;lwb/k_branch_p.0013.spartacus;                                          72.00; Unsat;
  70;lwb/k_branch_p.0014.spartacus;                                          72.00; Unsat;
  71;lwb/k_branch_p.0015.spartacus;                                        TIMEOUT;      ;
  72;lwb/k_branch_p.0016.spartacus;                                        TIMEOUT;      ;
  73;lwb/k_branch_p.0017.spartacus;                                        TIMEOUT;      ;
  74;lwb/k_branch_p.0018.spartacus;                                        TIMEOUT;      ;
  75;lwb/k_branch_p.0019.spartacus;                                        TIMEOUT;      ;
  76;lwb/k_branch_p.0020.spartacus;                                        TIMEOUT;      ;
  77;lwb/k_branch_p.0021.spartacus;                                        TIMEOUT;      ;
  78;lwb/k_branch_p.0022.spartacus;                                        TIMEOUT;      ;
  79;lwb/k_branch_p.0023.spartacus;                                        TIMEOUT;      ;
  80;lwb/k_branch_p.0024.spartacus;                                        TIMEOUT;      ;
  81;lwb/k_branch_p.0025.spartacus;                                        TIMEOUT;      ;
  82;lwb/k_branch_p.0026.spartacus;                                        TIMEOUT;      ;
  83;lwb/k_branch_p.0027.spartacus;                                        TIMEOUT;      ;
  84;lwb/k_branch_p.0028.spartacus;                                        TIMEOUT;      ;
  85;lwb/k_branch_p.0029.spartacus;                                        TIMEOUT;      ;
  86;lwb/k_branch_p.0030.spartacus;                                        TIMEOUT;      ;
  87;lwb/k_branch_p.0032.spartacus;                                        TIMEOUT;      ;
  88;lwb/k_branch_p.0034.spartacus;                                        TIMEOUT;      ;
  89;lwb/k_branch_p.0036.spartacus;                                        TIMEOUT;      ;
  90;lwb/k_branch_p.0038.spartacus;                                        TIMEOUT;      ;
  91;lwb/k_branch_p.0040.spartacus;                                        TIMEOUT;      ;
  92;lwb/k_branch_p.0042.spartacus;                                        TIMEOUT;      ;
  93;lwb/k_branch_p.0044.spartacus;                                        TIMEOUT;      ;
  94;lwb/k_branch_p.0046.spartacus;                                        TIMEOUT;      ;
  95;lwb/k_branch_p.0048.spartacus;                                        TIMEOUT;      ;
  96;lwb/k_branch_p.0050.spartacus;                                        TIMEOUT;      ;
  97;lwb/k_branch_p.0052.spartacus;                                        TIMEOUT;      ;
  98;lwb/k_branch_p.0054.spartacus;                                        TIMEOUT;      ;
  99;lwb/k_branch_p.0056.spartacus;                                        TIMEOUT;      ;
 100;lwb/k_branch_p.0058.spartacus;                                        TIMEOUT;      ;
 101;lwb/k_branch_p.0060.spartacus;                                        TIMEOUT;      ;
 102;lwb/k_branch_p.0062.spartacus;                                        TIMEOUT;      ;
 103;lwb/k_branch_p.0064.spartacus;                                        TIMEOUT;      ;
 104;lwb/k_branch_p.0066.spartacus;                                        TIMEOUT;      ;
 105;lwb/k_branch_p.0068.spartacus;                                        TIMEOUT;      ;
 106;lwb/k_branch_p.0070.spartacus;                                        TIMEOUT;      ;
 107;lwb/k_branch_p.0072.spartacus;                                        TIMEOUT;      ;
 108;lwb/k_branch_p.0074.spartacus;                                        TIMEOUT;      ;
 109;lwb/k_branch_p.0076.spartacus;                                        TIMEOUT;      ;
 110;lwb/k_branch_p.0078.spartacus;                                        TIMEOUT;      ;
 111;lwb/k_branch_p.0080.spartacus;                                        TIMEOUT;      ;
 112;lwb/k_branch_p.0088.spartacus;                                        TIMEOUT;      ;
 113;lwb/k_d4_n.0004.spartacus;                                               0.00; Sat  ;
 114;lwb/k_d4_n.0008.spartacus;                                               0.00; Sat  ;
 115;lwb/k_d4_n.0012.spartacus;                                               0.01; Sat  ;
 116;lwb/k_d4_n.0016.spartacus;                                               0.02; Sat  ;
 117;lwb/k_d4_n.0020.spartacus;                                               0.03; Sat  ;
 118;lwb/k_d4_n.0040.spartacus;                                               0.22; Sat  ;
 119;lwb/k_d4_n.0060.spartacus;                                               0.61; Sat  ;
 120;lwb/k_d4_n.0080.spartacus;                                               1.31; Sat  ;
 121;lwb/k_d4_n.0100.spartacus;                                               2.38; Sat  ;
 122;lwb/k_d4_n.0120.spartacus;                                               3.94; Sat  ;
 123;lwb/k_d4_n.0140.spartacus;                                               6.05; Sat  ;
 124;lwb/k_d4_n.0160.spartacus;                                               8.86; Sat  ;
 125;lwb/k_d4_n.0180.spartacus;                                              12.41; Sat  ;
 126;lwb/k_d4_n.0200.spartacus;                                              16.64; Sat  ;
 127;lwb/k_d4_n.0240.spartacus;                                              28.25; Sat  ;
 128;lwb/k_d4_n.0280.spartacus;                                              43.83; Sat  ;
 129;lwb/k_d4_n.0320.spartacus;                                              64.78; Sat  ;
 130;lwb/k_d4_n.0360.spartacus;                                              90.80; Sat  ;
 131;lwb/k_d4_n.0400.spartacus;                                             123.86; Sat  ;
 132;lwb/k_d4_n.0440.spartacus;                                             162.03; Sat  ;
 133;lwb/k_d4_n.0480.spartacus;                                             210.72; Sat  ;
 134;lwb/k_d4_n.0520.spartacus;                                             265.51; Sat  ;
 135;lwb/k_d4_n.0560.spartacus;                                             290.96; Sat  ;
 136;lwb/k_d4_n.0600.spartacus;                                             360.60; Sat  ;
 137;lwb/k_d4_n.0640.spartacus;                                             406.29; Sat  ;
 138;lwb/k_d4_n.0680.spartacus;                                             491.64; Sat  ;
 139;lwb/k_d4_n.0720.spartacus;                                             561.96; Sat  ;
 140;lwb/k_d4_n.0760.spartacus;                                             635.66; Sat  ;
 141;lwb/k_d4_n.0800.spartacus;                                             772.62; Sat  ;
 142;lwb/k_d4_n.0840.spartacus;                                             854.96; Sat  ;
 143;lwb/k_d4_n.0880.spartacus;                                             881.81; Sat  ;
 144;lwb/k_d4_n.0920.spartacus;                                            TIMEOUT;      ;
 145;lwb/k_d4_n.0960.spartacus;                                            TIMEOUT;      ;
 146;lwb/k_d4_n.1000.spartacus;                                            TIMEOUT;      ;
 147;lwb/k_d4_n.1040.spartacus;                                            TIMEOUT;      ;
 148;lwb/k_d4_n.1080.spartacus;                                            TIMEOUT;      ;
 149;lwb/k_d4_n.1120.spartacus;                                            TIMEOUT;      ;
 150;lwb/k_d4_n.1160.spartacus;                                            TIMEOUT;      ;
 151;lwb/k_d4_n.1200.spartacus;                                            TIMEOUT;      ;
 152;lwb/k_d4_n.1240.spartacus;                                            TIMEOUT;      ;
 153;lwb/k_d4_n.1280.spartacus;                                            TIMEOUT;      ;
 154;lwb/k_d4_n.1320.spartacus;                                            TIMEOUT;      ;
 155;lwb/k_d4_n.1360.spartacus;                                            TIMEOUT;      ;
