  No;Problem;                                                              snf+#negative6;;
   1;qbf/C10-V04-D4/p-qbf-cnf-K4-C10-V04-D4.1;                                0.01; Sat  ;
   2;qbf/C10-V04-D4/p-qbf-cnf-K4-C10-V04-D4.2;                                0.06; Sat  ;
   3;qbf/C10-V04-D4/p-qbf-cnf-K4-C10-V04-D4.3;                             TIMEOUT;      ;
   4;qbf/C10-V04-D4/p-qbf-cnf-K4-C10-V04-D4.4;                                0.01; Sat  ;
   5;qbf/C10-V04-D6/p-qbf-cnf-K4-C10-V04-D6.1;                             TIMEOUT;      ;
   6;qbf/C10-V04-D6/p-qbf-cnf-K4-C10-V04-D6.2;                             TIMEOUT;      ;
   7;qbf/C10-V04-D6/p-qbf-cnf-K4-C10-V04-D6.3;                                0.04; Sat  ;
   8;qbf/C10-V04-D6/p-qbf-cnf-K4-C10-V04-D6.4;                                0.05; Sat  ;
   9;qbf/C10-V08-D4/p-qbf-cnf-K4-C10-V08-D4.1;                                0.12; Sat  ;
  10;qbf/C10-V08-D4/p-qbf-cnf-K4-C10-V08-D4.2;                                0.19; Sat  ;
  11;qbf/C10-V08-D4/p-qbf-cnf-K4-C10-V08-D4.3;                             TIMEOUT;      ;
  12;qbf/C10-V08-D4/p-qbf-cnf-K4-C10-V08-D4.4;                                0.15; Sat  ;
  13;qbf/C10-V08-D6/p-qbf-cnf-K4-C10-V08-D6.1;                             TIMEOUT;      ;
  14;qbf/C10-V08-D6/p-qbf-cnf-K4-C10-V08-D6.2;                                0.33; Sat  ;
  15;qbf/C10-V08-D6/p-qbf-cnf-K4-C10-V08-D6.3;                             TIMEOUT;      ;
  16;qbf/C10-V08-D6/p-qbf-cnf-K4-C10-V08-D6.4;                                0.58; Sat  ;
  17;qbf/C10-V16-D4/p-qbf-cnf-K4-C10-V16-D4.1;                                2.11; Sat  ;
  18;qbf/C10-V16-D4/p-qbf-cnf-K4-C10-V16-D4.2;                             TIMEOUT;      ;
  19;qbf/C10-V16-D4/p-qbf-cnf-K4-C10-V16-D4.3;                             TIMEOUT;      ;
  20;qbf/C10-V16-D4/p-qbf-cnf-K4-C10-V16-D4.4;                             TIMEOUT;      ;
  21;qbf/C10-V16-D6/p-qbf-cnf-K4-C10-V16-D6.1;                             TIMEOUT;      ;
  22;qbf/C10-V16-D6/p-qbf-cnf-K4-C10-V16-D6.2;                                9.99; Sat  ;
  23;qbf/C10-V16-D6/p-qbf-cnf-K4-C10-V16-D6.3;                                8.72; Sat  ;
  24;qbf/C10-V16-D6/p-qbf-cnf-K4-C10-V16-D6.4;                             TIMEOUT;      ;
  25;qbf/C20-V04-D4/p-qbf-cnf-K4-C20-V04-D4.1;                                0.02; Sat  ;
  26;qbf/C20-V04-D4/p-qbf-cnf-K4-C20-V04-D4.2;                                0.02; Sat  ;
  27;qbf/C20-V04-D4/p-qbf-cnf-K4-C20-V04-D4.3;                                0.02; Sat  ;
  28;qbf/C20-V04-D4/p-qbf-cnf-K4-C20-V04-D4.4;                                0.01; Sat  ;
  29;qbf/C20-V04-D6/p-qbf-cnf-K4-C20-V04-D6.1;                                0.07; Sat  ;
  30;qbf/C20-V04-D6/p-qbf-cnf-K4-C20-V04-D6.2;                                0.06; Sat  ;
  31;qbf/C20-V04-D6/p-qbf-cnf-K4-C20-V04-D6.3;                                0.06; Sat  ;
  32;qbf/C20-V04-D6/p-qbf-cnf-K4-C20-V04-D6.4;                                0.06; Sat  ;
  33;qbf/C20-V08-D4/p-qbf-cnf-K4-C20-V08-D4.1;                                0.22; Sat  ;
  34;qbf/C20-V08-D4/p-qbf-cnf-K4-C20-V08-D4.2;                                0.22; Sat  ;
  35;qbf/C20-V08-D4/p-qbf-cnf-K4-C20-V08-D4.3;                                1.40; Sat  ;
  36;qbf/C20-V08-D4/p-qbf-cnf-K4-C20-V08-D4.4;                                0.27; Sat  ;
  37;qbf/C20-V08-D6/p-qbf-cnf-K4-C20-V08-D6.1;                                0.83; Sat  ;
  38;qbf/C20-V08-D6/p-qbf-cnf-K4-C20-V08-D6.2;                                8.38; Sat  ;
  39;qbf/C20-V08-D6/p-qbf-cnf-K4-C20-V08-D6.3;                                1.34; Sat  ;
  40;qbf/C20-V08-D6/p-qbf-cnf-K4-C20-V08-D6.4;                                1.02; Sat  ;
  41;qbf/C20-V16-D4/p-qbf-cnf-K4-C20-V16-D4.1;                             TIMEOUT;      ;
  42;qbf/C20-V16-D4/p-qbf-cnf-K4-C20-V16-D4.2;                             TIMEOUT;      ;
  43;qbf/C20-V16-D4/p-qbf-cnf-K4-C20-V16-D4.3;                                6.90; Sat  ;
  44;qbf/C20-V16-D4/p-qbf-cnf-K4-C20-V16-D4.4;                             TIMEOUT;      ;
  45;qbf/C30-V04-D4/p-qbf-cnf-K4-C30-V04-D4.1;                             TIMEOUT;      ;
  46;qbf/C30-V04-D4/p-qbf-cnf-K4-C30-V04-D4.2;                             TIMEOUT;      ;
  47;qbf/C30-V04-D4/p-qbf-cnf-K4-C30-V04-D4.3;                                0.02; Sat  ;
  48;qbf/C30-V04-D4/p-qbf-cnf-K4-C30-V04-D4.4;                                0.02; Sat  ;
  49;qbf/C30-V08-D4/p-qbf-cnf-K4-C30-V08-D4.1;                                0.28; Sat  ;
  50;qbf/C30-V08-D4/p-qbf-cnf-K4-C30-V08-D4.2;                                0.25; Sat  ;
  51;qbf/C30-V08-D4/p-qbf-cnf-K4-C30-V08-D4.3;                                0.30; Sat  ;
  52;qbf/C30-V08-D4/p-qbf-cnf-K4-C30-V08-D4.4;                                0.28; Sat  ;
  53;qbf/C30-V16-D4/p-qbf-cnf-K4-C30-V16-D4.1;                             TIMEOUT;      ;
  54;qbf/C30-V16-D4/p-qbf-cnf-K4-C30-V16-D4.2;                                9.67; Sat  ;
  55;qbf/C30-V16-D4/p-qbf-cnf-K4-C30-V16-D4.3;                                9.75; Sat  ;
  56;qbf/C30-V16-D4/p-qbf-cnf-K4-C30-V16-D4.4;                               10.81; Sat  ;
  57;qbfL/C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.1;                            0.01; Sat  ;
  58;qbfL/C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.2;                            0.01; Sat  ;
  59;qbfL/C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.3;                            0.01; Sat  ;
  60;qbfL/C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.4;                            0.01; Sat  ;
  61;qbfL/C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.5;                            0.01; Sat  ;
  62;qbfL/C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.6;                            0.01; Sat  ;
  63;qbfL/C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.7;                            0.01; Sat  ;
  64;qbfL/C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.8;                            0.01; Sat  ;
  65;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.1;                            0.02; Sat  ;
  66;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.2;                            0.01; Sat  ;
  67;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.3;                            0.01; Sat  ;
  68;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.4;                            0.02; Sat  ;
  69;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.5;                            0.02; Sat  ;
  70;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.6;                            0.02; Sat  ;
  71;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.7;                            0.02; Sat  ;
  72;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.8;                            0.02; Sat  ;
  73;qbfL/C10-V08-D4/p-qbf-cnfLadn-K4-C10-V8-D4.1;                            0.03; Sat  ;
  74;qbfL/C10-V08-D4/p-qbf-cnfLadn-K4-C10-V8-D4.2;                            0.03; Sat  ;
  75;qbfL/C10-V08-D4/p-qbf-cnfLadn-K4-C10-V8-D4.3;                            0.03; Sat  ;
  76;qbfL/C10-V08-D4/p-qbf-cnfLadn-K4-C10-V8-D4.4;                            0.04; Sat  ;
