Prover,System,Problem,Execution Time,Result
qbf,ksp,C10-V04-D4/p-qbf-cnf-K4-C10-V04-D4.1,0.01, Sat  
qbf,ksp,C10-V04-D4/p-qbf-cnf-K4-C10-V04-D4.2,0.06, Sat  
qbf,ksp,C10-V04-D4/p-qbf-cnf-K4-C10-V04-D4.3,9999999.0,NULL
qbf,ksp,C10-V04-D4/p-qbf-cnf-K4-C10-V04-D4.4,0.01, Sat  
qbf,ksp,C10-V04-D6/p-qbf-cnf-K4-C10-V04-D6.1,9999999.0,NULL
qbf,ksp,C10-V04-D6/p-qbf-cnf-K4-C10-V04-D6.2,9999999.0,NULL
qbf,ksp,C10-V04-D6/p-qbf-cnf-K4-C10-V04-D6.3,0.04, Sat  
qbf,ksp,C10-V04-D6/p-qbf-cnf-K4-C10-V04-D6.4,0.05, Sat  
qbf,ksp,C10-V08-D4/p-qbf-cnf-K4-C10-V08-D4.1,0.12, Sat  
qbf,ksp,C10-V08-D4/p-qbf-cnf-K4-C10-V08-D4.2,0.19, Sat  
qbf,ksp,C10-V08-D4/p-qbf-cnf-K4-C10-V08-D4.3,9999999.0,NULL
qbf,ksp,C10-V08-D4/p-qbf-cnf-K4-C10-V08-D4.4,0.15, Sat  
qbf,ksp,C10-V08-D6/p-qbf-cnf-K4-C10-V08-D6.1,9999999.0,NULL
qbf,ksp,C10-V08-D6/p-qbf-cnf-K4-C10-V08-D6.2,0.33, Sat  
qbf,ksp,C10-V08-D6/p-qbf-cnf-K4-C10-V08-D6.3,9999999.0,NULL
qbf,ksp,C10-V08-D6/p-qbf-cnf-K4-C10-V08-D6.4,0.58, Sat  
qbf,ksp,C10-V16-D4/p-qbf-cnf-K4-C10-V16-D4.1,2.11, Sat  
qbf,ksp,C10-V16-D4/p-qbf-cnf-K4-C10-V16-D4.2,9999999.0,NULL
qbf,ksp,C10-V16-D4/p-qbf-cnf-K4-C10-V16-D4.3,9999999.0,NULL
qbf,ksp,C10-V16-D4/p-qbf-cnf-K4-C10-V16-D4.4,9999999.0,NULL
qbf,ksp,C10-V16-D6/p-qbf-cnf-K4-C10-V16-D6.1,9999999.0,NULL
qbf,ksp,C10-V16-D6/p-qbf-cnf-K4-C10-V16-D6.2,9.99, Sat  
qbf,ksp,C10-V16-D6/p-qbf-cnf-K4-C10-V16-D6.3,8.72, Sat  
qbf,ksp,C10-V16-D6/p-qbf-cnf-K4-C10-V16-D6.4,9999999.0,NULL
qbf,ksp,C20-V04-D4/p-qbf-cnf-K4-C20-V04-D4.1,0.02, Sat  
qbf,ksp,C20-V04-D4/p-qbf-cnf-K4-C20-V04-D4.2,0.02, Sat  
qbf,ksp,C20-V04-D4/p-qbf-cnf-K4-C20-V04-D4.3,0.02, Sat  
qbf,ksp,C20-V04-D4/p-qbf-cnf-K4-C20-V04-D4.4,0.01, Sat  
qbf,ksp,C20-V04-D6/p-qbf-cnf-K4-C20-V04-D6.1,0.07, Sat  
qbf,ksp,C20-V04-D6/p-qbf-cnf-K4-C20-V04-D6.2,0.06, Sat  
qbf,ksp,C20-V04-D6/p-qbf-cnf-K4-C20-V04-D6.3,0.06, Sat  
qbf,ksp,C20-V04-D6/p-qbf-cnf-K4-C20-V04-D6.4,0.06, Sat  
qbf,ksp,C20-V08-D4/p-qbf-cnf-K4-C20-V08-D4.1,0.22, Sat  
qbf,ksp,C20-V08-D4/p-qbf-cnf-K4-C20-V08-D4.2,0.22, Sat  
qbf,ksp,C20-V08-D4/p-qbf-cnf-K4-C20-V08-D4.3,1.4, Sat  
qbf,ksp,C20-V08-D4/p-qbf-cnf-K4-C20-V08-D4.4,0.27, Sat  
qbf,ksp,C20-V08-D6/p-qbf-cnf-K4-C20-V08-D6.1,0.83, Sat  
qbf,ksp,C20-V08-D6/p-qbf-cnf-K4-C20-V08-D6.2,8.38, Sat  
qbf,ksp,C20-V08-D6/p-qbf-cnf-K4-C20-V08-D6.3,1.34, Sat  
qbf,ksp,C20-V08-D6/p-qbf-cnf-K4-C20-V08-D6.4,1.02, Sat  
qbf,ksp,C20-V16-D4/p-qbf-cnf-K4-C20-V16-D4.1,9999999.0,NULL
qbf,ksp,C20-V16-D4/p-qbf-cnf-K4-C20-V16-D4.2,9999999.0,NULL
qbf,ksp,C20-V16-D4/p-qbf-cnf-K4-C20-V16-D4.3,6.9, Sat  
qbf,ksp,C20-V16-D4/p-qbf-cnf-K4-C20-V16-D4.4,9999999.0,NULL
qbf,ksp,C30-V04-D4/p-qbf-cnf-K4-C30-V04-D4.1,9999999.0,NULL
qbf,ksp,C30-V04-D4/p-qbf-cnf-K4-C30-V04-D4.2,9999999.0,NULL
qbf,ksp,C30-V04-D4/p-qbf-cnf-K4-C30-V04-D4.3,0.02, Sat  
qbf,ksp,C30-V04-D4/p-qbf-cnf-K4-C30-V04-D4.4,0.02, Sat  
qbf,ksp,C30-V08-D4/p-qbf-cnf-K4-C30-V08-D4.1,0.28, Sat  
qbf,ksp,C30-V08-D4/p-qbf-cnf-K4-C30-V08-D4.2,0.25, Sat  
qbf,ksp,C30-V08-D4/p-qbf-cnf-K4-C30-V08-D4.3,0.3, Sat  
qbf,ksp,C30-V08-D4/p-qbf-cnf-K4-C30-V08-D4.4,0.28, Sat  
qbf,ksp,C30-V16-D4/p-qbf-cnf-K4-C30-V16-D4.1,9999999.0,NULL
qbf,ksp,C30-V16-D4/p-qbf-cnf-K4-C30-V16-D4.2,9.67, Sat  
qbf,ksp,C30-V16-D4/p-qbf-cnf-K4-C30-V16-D4.3,9.75, Sat  
qbf,ksp,C30-V16-D4/p-qbf-cnf-K4-C30-V16-D4.4,10.81, Sat  
qbfL,ksp,C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.1,0.01, Sat  
qbfL,ksp,C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.2,0.01, Sat  
qbfL,ksp,C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.3,0.01, Sat  
qbfL,ksp,C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.4,0.01, Sat  
qbfL,ksp,C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.5,0.01, Sat  
qbfL,ksp,C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.6,0.01, Sat  
qbfL,ksp,C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.7,0.01, Sat  
