PC1,PC2,Problem,Prover,System
9813153.758033544,-0.036132857109789585,C10-V16-D6/p-qbf-cnf-K4-C10-V16-D6.4,qbf,ksp
9813153.758033544,-0.036132857109789585,C10-V16-D6/p-qbf-cnf-K4-C10-V16-D6.1,qbf,ksp
9813153.758033544,-0.036132857109789585,C10-V16-D4/p-qbf-cnf-K4-C10-V16-D4.4,qbf,ksp
9813153.758033544,-0.036132857109789585,C10-V04-D4/p-qbf-cnf-K4-C10-V04-D4.3,qbf,ksp
9813153.758033544,-0.036132857109789585,C10-V16-D4/p-qbf-cnf-K4-C10-V16-D4.3,qbf,ksp
9813153.758033544,-0.036132857109789585,C30-V16-D4/p-qbf-cnf-K4-C30-V16-D4.1,qbf,ksp
9813153.758033544,-0.036132857109789585,C10-V04-D6/p-qbf-cnf-K4-C10-V04-D6.1,qbf,ksp
9813153.758033544,-0.036132857109789585,C10-V04-D6/p-qbf-cnf-K4-C10-V04-D6.2,qbf,ksp
9813153.758033544,-0.036132857109789585,C20-V16-D4/p-qbf-cnf-K4-C20-V16-D4.4,qbf,ksp
9813153.758033544,-0.036132857109789585,C20-V16-D4/p-qbf-cnf-K4-C20-V16-D4.2,qbf,ksp
9813153.758033544,-0.036132857109789585,C10-V16-D4/p-qbf-cnf-K4-C10-V16-D4.2,qbf,ksp
9813153.758033544,-0.036132857109789585,C10-V08-D6/p-qbf-cnf-K4-C10-V08-D6.1,qbf,ksp
9813153.758033544,-0.036132857109789585,C20-V16-D4/p-qbf-cnf-K4-C20-V16-D4.1,qbf,ksp
9813153.758033544,-0.036132857109789585,C10-V08-D6/p-qbf-cnf-K4-C10-V08-D6.3,qbf,ksp
9813153.758033544,-0.036132857109789585,C30-V04-D4/p-qbf-cnf-K4-C30-V04-D4.1,qbf,ksp
9813153.758033544,-0.036132857109789585,C30-V04-D4/p-qbf-cnf-K4-C30-V04-D4.2,qbf,ksp
9813153.758033544,-0.036132857109789585,C10-V08-D4/p-qbf-cnf-K4-C10-V08-D4.3,qbf,ksp
9813153.75803344,0.6155531058483936,CXX-V16-DX/p-qbf-modKLadn-K4-C50-V16-D6.1,qbfML,ksp
9813153.758033374,-0.0035153535573951844,,Problem,unknown
-186845.24196655984,-0.474561900964006,C50-V16-D6/p-qbf-cnfSSS-K4-C50-V16-D6.8,qbfS,ksp
-186845.24196655984,-0.474561900964006,C50-V16-D4/p-qbf-cnfSSS-K4-C50-V16-D4.5,qbfS,ksp
-186845.24196655984,-0.474561900964006,C40-V08-D6/p-qbf-cnfSSS-K4-C40-V8-D6.2,qbfS,ksp
-186845.24196655984,-0.474561900964006,C40-V08-D6/p-qbf-cnfSSS-K4-C40-V8-D6.6,qbfS,ksp
-186845.24196655984,-0.474561900964006,C40-V08-D6/p-qbf-cnfSSS-K4-C40-V8-D6.5,qbfS,ksp
-186845.24196655984,-0.474561900964006,C40-V08-D6/p-qbf-cnfSSS-K4-C40-V8-D6.7,qbfS,ksp
