  No;Problem;                                                                            ;;
   1;qbf/C10-V04-D4/p-qbf-cnf-K4-C10-V04-D4.1.spartacus;                      0.01; Sat  ;
   2;qbf/C10-V04-D4/p-qbf-cnf-K4-C10-V04-D4.2.spartacus;                      0.01; Sat  ;
   3;qbf/C10-V04-D4/p-qbf-cnf-K4-C10-V04-D4.3.spartacus;                      0.01; Sat  ;
   4;qbf/C10-V04-D4/p-qbf-cnf-K4-C10-V04-D4.4.spartacus;                      0.01; Sat  ;
   5;qbf/C10-V04-D6/p-qbf-cnf-K4-C10-V04-D6.1.spartacus;                      0.04; Sat  ;
   6;qbf/C10-V04-D6/p-qbf-cnf-K4-C10-V04-D6.2.spartacus;                      0.04; Sat  ;
   7;qbf/C10-V04-D6/p-qbf-cnf-K4-C10-V04-D6.3.spartacus;                      0.03; Sat  ;
   8;qbf/C10-V04-D6/p-qbf-cnf-K4-C10-V04-D6.4.spartacus;                      0.04; Sat  ;
   9;qbf/C10-V08-D4/p-qbf-cnf-K4-C10-V08-D4.1.spartacus;                      0.09; Sat  ;
  10;qbf/C10-V08-D4/p-qbf-cnf-K4-C10-V08-D4.2.spartacus;                      0.08; Sat  ;
  11;qbf/C10-V08-D4/p-qbf-cnf-K4-C10-V08-D4.3.spartacus;                      0.08; Sat  ;
  12;qbf/C10-V08-D4/p-qbf-cnf-K4-C10-V08-D4.4.spartacus;                      0.10; Sat  ;
  13;qbf/C10-V08-D6/p-qbf-cnf-K4-C10-V08-D6.1.spartacus;                      0.20; Sat  ;
  14;qbf/C10-V08-D6/p-qbf-cnf-K4-C10-V08-D6.2.spartacus;                      0.17; Sat  ;
  15;qbf/C10-V08-D6/p-qbf-cnf-K4-C10-V08-D6.3.spartacus;                      0.22; Sat  ;
  16;qbf/C10-V08-D6/p-qbf-cnf-K4-C10-V08-D6.4.spartacus;                      0.22; Sat  ;
  17;qbf/C10-V16-D4/p-qbf-cnf-K4-C10-V16-D4.1.spartacus;                      0.43; Sat  ;
  18;qbf/C10-V16-D4/p-qbf-cnf-K4-C10-V16-D4.2.spartacus;                      0.56; Sat  ;
  19;qbf/C10-V16-D4/p-qbf-cnf-K4-C10-V16-D4.3.spartacus;                      0.52; Sat  ;
  20;qbf/C10-V16-D4/p-qbf-cnf-K4-C10-V16-D4.4.spartacus;                      0.60; Sat  ;
  21;qbf/C10-V16-D6/p-qbf-cnf-K4-C10-V16-D6.1.spartacus;                      0.83; Sat  ;
  22;qbf/C10-V16-D6/p-qbf-cnf-K4-C10-V16-D6.2.spartacus;                      1.07; Sat  ;
  23;qbf/C10-V16-D6/p-qbf-cnf-K4-C10-V16-D6.3.spartacus;                      0.98; Sat  ;
  24;qbf/C10-V16-D6/p-qbf-cnf-K4-C10-V16-D6.4.spartacus;                      0.84; Sat  ;
  25;qbf/C20-V04-D4/p-qbf-cnf-K4-C20-V04-D4.1.spartacus;                      0.02; Sat  ;
  26;qbf/C20-V04-D4/p-qbf-cnf-K4-C20-V04-D4.2.spartacus;                      0.02; Sat  ;
