Prover,System,Problem,Execution Time,Result
qbf,spartacus,C10-V04-D4/p-qbf-cnf-K4-C10-V04-D4.1.,0.01, Sat  
qbf,spartacus,C10-V04-D4/p-qbf-cnf-K4-C10-V04-D4.2.,0.01, Sat  
qbf,spartacus,C10-V04-D4/p-qbf-cnf-K4-C10-V04-D4.3.,0.01, Sat  
qbf,spartacus,C10-V04-D4/p-qbf-cnf-K4-C10-V04-D4.4.,0.01, Sat  
qbf,spartacus,C10-V04-D6/p-qbf-cnf-K4-C10-V04-D6.1.,0.04, Sat  
qbf,spartacus,C10-V04-D6/p-qbf-cnf-K4-C10-V04-D6.2.,0.04, Sat  
qbf,spartacus,C10-V04-D6/p-qbf-cnf-K4-C10-V04-D6.3.,0.03, Sat  
qbf,spartacus,C10-V04-D6/p-qbf-cnf-K4-C10-V04-D6.4.,0.04, Sat  
qbf,spartacus,C10-V08-D4/p-qbf-cnf-K4-C10-V08-D4.1.,0.09, Sat  
qbf,spartacus,C10-V08-D4/p-qbf-cnf-K4-C10-V08-D4.2.,0.08, Sat  
qbf,spartacus,C10-V08-D4/p-qbf-cnf-K4-C10-V08-D4.3.,0.08, Sat  
qbf,spartacus,C10-V08-D4/p-qbf-cnf-K4-C10-V08-D4.4.,0.1, Sat  
qbf,spartacus,C10-V08-D6/p-qbf-cnf-K4-C10-V08-D6.1.,0.2, Sat  
qbf,spartacus,C10-V08-D6/p-qbf-cnf-K4-C10-V08-D6.2.,0.17, Sat  
qbf,spartacus,C10-V08-D6/p-qbf-cnf-K4-C10-V08-D6.3.,0.22, Sat  
qbf,spartacus,C10-V08-D6/p-qbf-cnf-K4-C10-V08-D6.4.,0.22, Sat  
qbf,spartacus,C10-V16-D4/p-qbf-cnf-K4-C10-V16-D4.1.,0.43, Sat  
qbf,spartacus,C10-V16-D4/p-qbf-cnf-K4-C10-V16-D4.2.,0.56, Sat  
qbf,spartacus,C10-V16-D4/p-qbf-cnf-K4-C10-V16-D4.3.,0.52, Sat  
qbf,spartacus,C10-V16-D4/p-qbf-cnf-K4-C10-V16-D4.4.,0.6, Sat  
qbf,spartacus,C10-V16-D6/p-qbf-cnf-K4-C10-V16-D6.1.,0.83, Sat  
qbf,spartacus,C10-V16-D6/p-qbf-cnf-K4-C10-V16-D6.2.,1.07, Sat  
qbf,spartacus,C10-V16-D6/p-qbf-cnf-K4-C10-V16-D6.3.,0.98, Sat  
qbf,spartacus,C10-V16-D6/p-qbf-cnf-K4-C10-V16-D6.4.,0.84, Sat  
qbf,spartacus,C20-V04-D4/p-qbf-cnf-K4-C20-V04-D4.1.,0.02, Sat  
qbf,spartacus,C20-V04-D4/p-qbf-cnf-K4-C20-V04-D4.2.,0.02, Sat  
qbf,spartacus,C20-V04-D4/p-qbf-cnf-K4-C20-V04-D4.3.,0.02, Sat  
qbf,spartacus,C20-V04-D4/p-qbf-cnf-K4-C20-V04-D4.4.,0.01, Sat  
qbf,spartacus,C20-V04-D6/p-qbf-cnf-K4-C20-V04-D6.1.,0.05, Sat  
qbf,spartacus,C20-V04-D6/p-qbf-cnf-K4-C20-V04-D6.2.,0.05, Sat  
qbf,spartacus,C20-V04-D6/p-qbf-cnf-K4-C20-V04-D6.3.,0.06, Sat  
qbf,spartacus,C20-V04-D6/p-qbf-cnf-K4-C20-V04-D6.4.,0.06, Sat  
qbf,spartacus,C20-V08-D4/p-qbf-cnf-K4-C20-V08-D4.1.,0.13, Sat  
qbf,spartacus,C20-V08-D4/p-qbf-cnf-K4-C20-V08-D4.2.,0.14, Sat  
qbf,spartacus,C20-V08-D4/p-qbf-cnf-K4-C20-V08-D4.3.,0.15, Sat  
qbf,spartacus,C20-V08-D4/p-qbf-cnf-K4-C20-V08-D4.4.,0.15, Sat  
qbf,spartacus,C20-V08-D6/p-qbf-cnf-K4-C20-V08-D6.1.,0.28, Sat  
qbf,spartacus,C20-V08-D6/p-qbf-cnf-K4-C20-V08-D6.2.,0.37, Sat  
qbf,spartacus,C20-V08-D6/p-qbf-cnf-K4-C20-V08-D6.3.,0.37, Sat  
qbf,spartacus,C20-V08-D6/p-qbf-cnf-K4-C20-V08-D6.4.,0.32, Sat  
qbf,spartacus,C20-V16-D4/p-qbf-cnf-K4-C20-V16-D4.1.,0.85, Sat  
qbf,spartacus,C20-V16-D4/p-qbf-cnf-K4-C20-V16-D4.2.,0.9, Sat  
qbf,spartacus,C20-V16-D4/p-qbf-cnf-K4-C20-V16-D4.3.,0.84, Sat  
qbf,spartacus,C20-V16-D4/p-qbf-cnf-K4-C20-V16-D4.4.,0.85, Sat  
qbf,spartacus,C30-V04-D4/p-qbf-cnf-K4-C30-V04-D4.1.,0.02, Sat  
qbf,spartacus,C30-V04-D4/p-qbf-cnf-K4-C30-V04-D4.2.,0.02, Sat  
qbf,spartacus,C30-V04-D4/p-qbf-cnf-K4-C30-V04-D4.3.,0.02, Sat  
qbf,spartacus,C30-V04-D4/p-qbf-cnf-K4-C30-V04-D4.4.,0.02, Sat  
qbf,spartacus,C30-V08-D4/p-qbf-cnf-K4-C30-V08-D4.1.,0.16, Sat  
qbf,spartacus,C30-V08-D4/p-qbf-cnf-K4-C30-V08-D4.2.,0.15, Sat  
qbf,spartacus,C30-V08-D4/p-qbf-cnf-K4-C30-V08-D4.3.,0.17, Sat  
qbf,spartacus,C30-V08-D4/p-qbf-cnf-K4-C30-V08-D4.4.,0.16, Sat  
qbf,spartacus,C30-V16-D4/p-qbf-cnf-K4-C30-V16-D4.1.,1.3, Sat  
qbf,spartacus,C30-V16-D4/p-qbf-cnf-K4-C30-V16-D4.2.,1.04, Sat  
qbf,spartacus,C30-V16-D4/p-qbf-cnf-K4-C30-V16-D4.3.,1.05, Sat  
qbf,spartacus,C30-V16-D4/p-qbf-cnf-K4-C30-V16-D4.4.,1.07, Sat  
qbfL,spartacus,C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.1.,0.28, Sat  
qbfL,spartacus,C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.2.,0.1, Sat  
qbfL,spartacus,C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.3.,0.56, Sat  
qbfL,spartacus,C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.4.,0.72, Sat  
qbfL,spartacus,C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.5.,0.84, Sat  
qbfL,spartacus,C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.6.,0.76, Sat  
qbfL,spartacus,C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.7.,0.25, Sat  
qbfL,spartacus,C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.8.,0.63, Sat  
qbfL,spartacus,C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.1.,60.74, Sat  
qbfL,spartacus,C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.2.,11.48, Sat  
qbfL,spartacus,C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.3.,8.98, Sat  
qbfL,spartacus,C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.4.,51.1, Sat  
qbfL,spartacus,C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.5.,66.16, Sat  
qbfL,spartacus,C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.6.,44.29, Sat  
